No of GPS satellites available,Time since start of day,Latitude,Longitude,velocity,Heading,Height,Vertical velocity,Sampleperiod,Steering Angle,Wheel Speed Front Left,Wheel Speed Front Right,Wheel Speed Rear Left,Wheel Speed Rear Right,Yaw Rate,Indicated Vehicle Speed,Indicated Longitudinal Acceleration,Indicated Lateral Acceleration,Handbrake,Gear Req,Gear,Engine Speed,Coolant Temp,Clutch,Brake Pressure,Brake Pos,Battery,Air Temp,Accel Pedal
12,0.0,52.418800000003806,-1.5016999999998821,51.73614239489624,45.0,0.11,0.0,0.1,0.0,46.35855053306114,46.35855053306114,46.35855053306114,46.35855053306114,0.0,51.73614239489624,0.02,0.01,0,3,3,2100,90,0,0,0,12.6,21,20
12,0.1,52.418800000003806,-1.5016999999998821,52.077759348594725,45.0,0.11,0.0,0.1,0.0,46.664658914511406,46.664658914511406,46.664658914511406,46.664658914511406,0.0,52.077759348594725,0.02,0.01,0,3,3,2100,90,0,0,0,12.6,21,20
12,0.2,52.418800000003806,-1.5016999999998821,52.15982321500733,45.0,0.11,0.0,0.1,0.0,46.738192844988646,46.738192844988646,46.738192844988646,46.738192844988646,0.0,52.15982321500733,0.02,0.01,0,3,3,2100,90,0,0,0,12.6,21,20
12,0.30000000000000004,52.418800000003806,-1.5016999999998821,52.66112224508419,45.0,0.11,0.0,0.1,0.0,47.18738552426898,47.18738552426898,47.18738552426898,47.18738552426898,0.0,52.66112224508419,0.02,0.01,0,3,3,2100,90,0,0,0,12.6,21,20
12,0.4,52.418800000003806,-1.5016999999998821,52.17260381163128,45.0,0.11,0.0,0.1,0.0,46.749644992501146,46.749644992501146,46.749644992501146,46.749644992501146,0.0,52.17260381163128,0.02,0.01,0,3,3,2100,90,0,0,0,12.6,21,20
12,0.5,52.418800000003806,-1.5016999999998821,52.13123026744272,45.0,0.11,0.0,0.1,0.0,46.712571924231824,46.712571924231824,46.712571924231824,46.712571924231824,0.0,52.13123026744272,0.02,0.01,0,3,3,2100,90,0,0,0,12.6,21,20
12,0.6000000000000001,52.418800000003806,-1.5016999999998821,52.03378082131337,45.0,0.11,0.0,0.1,0.0,46.62525163200123,46.62525163200123,46.62525163200123,46.62525163200123,0.0,52.03378082131337,0.02,0.01,0,3,3,2100,90,0,0,0,12.6,21,20
12,0.7000000000000001,52.418800000003806,-1.5016999999998821,52.08280247624487,45.0,0.11,0.0,0.1,0.0,46.669177846097554,46.669177846097554,46.669177846097554,46.669177846097554,0.0,52.08280247624487,0.02,0.01,0,3,3,2100,90,0,0,0,12.6,21,20
12,0.8,52.418800000003806,-1.5016999999998821,52.07012317508824,45.0,0.11,0.0,0.1,0.0,46.65781646513283,46.65781646513283,46.65781646513283,46.65781646513283,0.0,52.07012317508824,0.02,0.01,0,3,3,2100,90,0,0,0,12.6,21,20
12,0.9,52.418800000003806,-1.5016999999998821,51.980338763729264,45.0,0.11,0.0,0.1,0.0,46.57736448362837,46.57736448362837,46.57736448362837,46.57736448362837,0.0,51.980338763729264,0.02,0.01,0,3,3,2100,90,0,0,0,12.6,21,20
