epoch,train_loss,train_nll,train_bce,val_loss,val_rmse,val_zupt_acc,val_zupt_f1,val_zupt_fpr
1,53.21863,52.86587,0.70553,75.42134,14.1215,100.00,0.00,0.00
2,15.75364,15.44429,0.61870,10.52956,11.0153,100.00,0.00,0.00
3,4.29151,4.02942,0.52418,1.90236,3.7486,100.00,0.00,0.00
4,2.34321,2.13727,0.41188,2.68668,7.6259,100.00,0.00,0.00
5,1.87317,1.68345,0.37945,1.87666,3.5950,100.00,0.00,0.00
6,1.82264,1.67086,0.30355,1.66971,1.8188,100.00,0.00,0.00
7,1.55772,1.42144,0.27257,1.68406,2.2492,100.00,0.00,0.00
8,1.43846,1.30901,0.25891,1.52311,0.8070,100.00,0.00,0.00
9,1.50729,1.37793,0.25872,1.85915,3.7644,100.00,0.00,0.00
10,1.49859,1.37862,0.23993,1.45119,0.2006,100.00,0.00,0.00
11,1.49957,1.40233,0.19448,1.48512,1.2441,100.00,0.00,0.00
12,1.36447,1.27663,0.17567,1.40939,1.7723,100.00,0.00,0.00
13,1.37282,1.30445,0.13673,1.26272,0.0819,100.00,0.00,0.00
14,1.19308,1.14452,0.09711,1.66440,3.1195,100.00,0.00,0.00
15,1.31954,1.27820,0.08269,1.19277,0.5022,100.00,0.00,0.00
16,2.88501,2.83955,0.09092,1.18159,0.0990,100.00,0.00,0.00
17,0.95034,0.92765,0.04538,1.23332,1.5489,100.00,0.00,0.00
18,1.01311,0.98090,0.06443,1.10844,0.1811,100.00,0.00,0.00
19,0.49513,0.46463,0.06101,1.28246,2.0201,100.00,0.00,0.00
20,33.92673,33.89833,0.05680,1.05251,0.7274,100.00,0.00,0.00
21,1.11204,1.08311,0.05787,1.34731,2.2945,100.00,0.00,0.00
22,16.11428,16.07549,0.07758,1.10316,1.4788,100.00,0.00,0.00
23,1.26071,1.23910,0.04323,1.07312,0.6004,100.00,0.00,0.00
24,4.54155,4.50521,0.07268,1.05916,0.5232,100.00,0.00,0.00
25,11.27530,11.23787,0.07487,1.17189,1.6939,100.00,0.00,0.00
26,0.18386,0.14926,0.06920,1.03082,0.1181,100.00,0.00,0.00
27,122.88536,122.85192,0.06688,1.05246,1.0246,100.00,0.00,0.00
28,1.28442,1.25873,0.05137,1.02089,0.6533,100.00,0.00,0.00
29,142.16750,142.13382,0.06736,0.99153,0.4140,100.00,0.00,0.00
30,66.71053,66.69281,0.03545,0.96482,0.3455,100.00,0.00,0.00
31,18.77916,18.75188,0.05456,0.97680,0.7646,100.00,0.00,0.00
32,-0.10873,-0.13413,0.05081,0.96744,0.1926,100.00,0.00,0.00
33,39.53225,39.49954,0.06541,0.95683,0.1706,100.00,0.00,0.00
34,7.07119,7.04788,0.04662,1.01819,0.9746,100.00,0.00,0.00
35,-0.36352,-0.37816,0.02927,0.95764,0.3475,100.00,0.00,0.00
36,-0.08460,-0.11623,0.06327,0.96168,0.6969,100.00,0.00,0.00
37,-0.09891,-0.12097,0.04413,0.96458,0.6716,100.00,0.00,0.00
38,-0.30156,-0.32623,0.04934,0.96061,0.3244,100.00,0.00,0.00
39,1.64260,1.62054,0.04411,0.90946,0.3683,100.00,0.00,0.00
40,970.16804,970.14696,0.04218,0.97197,1.0143,100.00,0.00,0.00
41,-0.40555,-0.42587,0.04064,0.92094,0.3295,100.00,0.00,0.00
42,-0.32516,-0.34366,0.03700,0.90762,0.0774,100.00,0.00,0.00
43,-0.04267,-0.06346,0.04159,0.90458,0.3524,100.00,0.00,0.00
44,-0.42020,-0.43438,0.02837,0.91910,0.5072,100.00,0.00,0.00
45,-0.33794,-0.36086,0.04583,0.92363,0.5723,100.00,0.00,0.00
46,-0.47504,-0.49251,0.03493,0.88980,0.3020,100.00,0.00,0.00
47,-0.36799,-0.38273,0.02949,0.87055,0.6666,100.00,0.00,0.00
48,-0.39975,-0.42215,0.04482,0.86075,0.7329,100.00,0.00,0.00
49,-0.43850,-0.45181,0.02662,0.81164,0.1102,100.00,0.00,0.00
50,1208.82170,1208.79210,0.05924,0.81402,0.1055,100.00,0.00,0.00
51,0.73800,0.70551,0.06496,0.83605,0.7207,100.00,0.00,0.00
52,40.16569,40.13655,0.05829,0.84656,0.7797,100.00,0.00,0.00
53,-0.28428,-0.31059,0.05261,0.82436,0.4090,100.00,0.00,0.00
54,1068.06759,1068.04227,0.05060,0.82723,0.2266,100.00,0.00,0.00
55,1.19753,1.18672,0.02162,0.81916,0.3417,100.00,0.00,0.00
56,1511.47180,1511.42681,0.08995,0.83103,0.6372,100.00,0.00,0.00
57,-0.19260,-0.21169,0.03817,0.82201,0.5101,100.00,0.00,0.00
58,-0.35644,-0.38598,0.05908,0.80773,0.3296,100.00,0.00,0.00
59,607.52344,607.49107,0.06474,0.80444,0.2627,100.00,0.00,0.00
60,812.15892,812.13509,0.04765,0.82233,0.4385,100.00,0.00,0.00
